buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_spectrum.event_count,buffers.to_spectrum.filled_slots,buffers.to_spectrum.empty_slots,buffers.to_spectrum.flush_event_received,buffers.to_spectrum.rate,buffers.to_spectrum.average_deadtime,buffers.to_spectrum.paused_count,buffers.to_spectrum.paused,buffers.PulseHeights.event_count,buffers.PulseHeights.filled_slots,buffers.PulseHeights.empty_slots,buffers.PulseHeights.flush_event_received,buffers.PulseHeights.rate,buffers.PulseHeights.average_deadtime,buffers.PulseHeights.paused_count,buffers.PulseHeights.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.PHA.processes,workers.PHA.cpu_percent,workers.PHA_to_Histogram.processes,workers.PHA_to_Histogram.cpu_percent,workers.Show_Histogram.processes,workers.Show_Histogram.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
348,0.0,1.0,False,339.395878050567,0.08192162849109608,0,False,348,0.0,1.0,False,339.961157884832,0.08192162849109608,0,False,343,0.0,1.0,False,335.6335613434243,0.08219016190256105,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.4207777976989746,6,4.0
1436,0.0,0.9921875,False,1085.0196458483176,0.09424156869537832,0,False,1435,0.0,1.0,False,1084.1667405026794,0.09431954363217028,0,False,1411,0.0,1.0,False,1065.245648132801,0.09465541197451031,0,False,1,16.0,1,18.0,1,34.9,1,15.0,1,7.0,1,7.0,1.4230926036834717,6,7.7
2586,0.0,0.9921875,False,1146.6886774869627,0.09956585773736139,0,False,2585,0.0,1.0,False,1146.6949474288303,0.09954469484522871,0,False,2553,0.0,1.0,False,1138.7203755054222,0.09947668760080051,0,False,1,17.0,1,18.9,1,37.9,1,16.0,1,9.0,1,7.0,2.4261515140533447,6,7.6
3659,0.0,0.9921875,False,1069.519595870011,0.09058781283355363,0,False,3658,0.0,1.0,False,1069.5173083787354,0.0905999041075483,0,False,3606,0.0,1.0,False,1049.582722269223,0.09106055577235171,0,False,1,15.0,1,19.9,1,36.9,1,15.0,1,7.0,1,7.0,3.429232597351074,6,8.7
4714,0.0,0.9921875,False,1052.4053088905246,0.0894791819726061,0,False,4713,0.0,1.0,False,1052.4068106679313,0.08948235436054189,0,False,4645,0.0,0.9921875,False,1036.4441666565588,0.0900386415030457,0,False,1,16.0,1,17.0,1,35.9,1,18.0,1,5.0,1,6.0,4.431783199310303,6,6.5
5753,0.0,0.984375,False,1035.9358871897516,0.09747368634070054,0,False,5751,0.0,0.9921875,False,1034.9371141438799,0.0975257573968844,0,False,5671,0.0,1.0,False,1022.9730095811102,0.09768275372530771,0,False,1,16.9,1,19.9,1,37.9,1,14.0,1,2.0,1,0.0,5.434754133224487,6,6.5
6825,0.0078125,0.984375,False,1069.0446651239129,0.0922277133211285,0,False,6823,0.0,1.0,False,1069.0482236199991,0.09223539732542993,0,False,6718,0.0,1.0,False,1044.1185511994045,0.09209518235932403,0,False,1,15.0,1,18.9,1,39.9,1,16.0,1,10.0,1,6.0,6.437372922897339,6,7.0
7910,0.0,0.9921875,False,1081.6585517275967,0.08824142474353498,0,False,7909,0.0,1.0,False,1082.6549573915393,0.08820137105397612,0,False,7792,0.0,1.0,False,1070.6916647018109,0.08835236859771124,0,False,1,16.9,1,18.9,1,38.9,1,16.9,1,8.0,1,8.0,7.4405293464660645,6,6.5
8988,0.0,0.9921875,False,1075.3487421649152,0.10541890864081169,0,False,8987,0.0,1.0,False,1075.3495094231566,0.10540880706372532,0,False,8855,0.0,1.0,False,1060.3866422840856,0.10524412504922497,0,False,1,16.0,1,20.0,1,37.9,1,15.0,1,8.0,1,7.0,8.442928314208984,6,6.1
19856,0.0078125,0.984375,False,1044.1900527179178,0.0872656855487002,0,False,19854,0.0,1.0,False,1043.196457274818,0.08732210566473467,0,False,19550,0.0,1.0,False,1028.239350479662,0.08765001390775286,0,False,1,17.0,1,20.9,1,35.9,1,15.0,1,1.0,1,6.0,18.466501474380493,6,6.3
30753,0.0,0.9921875,False,1159.061657285234,0.10086544124895871,0,False,30752,0.0078125,0.9921875,False,1160.0624391635997,0.10087894830506622,0,False,30238,0.0,1.0,False,1136.1238700741656,0.09993496269052549,0,False,1,18.0,1,19.9,1,37.9,1,18.0,1,8.0,1,7.0,28.491573810577393,6,6.2
41545,0.0,0.9921875,False,1068.2645851030334,0.116129206523717,0,False,41544,0.0,0.9921875,False,1068.2788117350156,0.11615831769934126,0,False,40855,0.0,1.0,False,1056.317339824721,0.11578262067583453,0,False,1,19.0,1,18.0,1,39.9,1,17.0,1,9.0,1,6.0,38.51636362075806,6,6.7
52385,0.0,0.9921875,False,1108.7155875902283,0.11688651836074822,0,False,52384,0.0,0.9921875,False,1109.7058745293511,0.11686481622111694,0,False,51511,0.0,1.0,False,1089.7455801013614,0.11751074758954169,0,False,1,19.0,1,18.0,1,33.9,1,14.0,1,9.0,1,6.0,48.53835940361023,6,5.8
63267,0.0078125,0.984375,False,1092.885001288543,0.09024078776692726,0,False,63265,0.0,0.9921875,False,1091.8879720884433,0.09028281487679479,0,False,62242,0.0,1.0,False,1080.9099798353993,0.09026098254850669,0,False,1,15.0,1,19.0,1,37.9,1,16.0,1,9.0,1,7.0,58.559609174728394,6,5.9
128274,0.0,0.9921875,False,1114.5833842048742,0.09205891686129948,0,False,128273,0.0,1.0,False,1114.5833842048742,0.09204495838966228,0,False,126217,0.0,1.0,False,1100.6134111941312,0.09184439173204556,0,False,1,17.0,1,19.0,1,32.9,1,15.0,1,5.0,1,7.0,118.70134115219116,6,6.1
193432,0.0,0.9921875,False,1100.183901223294,0.08740458560257806,0,False,193431,0.0078125,0.984375,False,1100.178406924418,0.0873029629849772,0,False,190270,0.0,0.9921875,False,1081.2252111024127,0.08748574703404435,0,False,1,16.0,1,18.0,1,35.9,1,19.9,1,8.0,1,6.0,178.84007287025452,6,7.0
258116,0.0,0.9921875,False,1082.9478781538828,0.08646427604234644,0,False,258115,0.0,1.0,False,1082.947363215614,0.08646427604234644,0,False,253957,0.0,1.0,False,1068.9874782578925,0.08669436312846016,0,False,1,14.0,1,18.9,1,34.9,1,14.0,1,7.0,1,6.0,238.97563529014587,6,6.3
323082,0.0,0.9921875,False,1024.8914764998633,0.11469566957087257,0,False,323081,0.0,0.9921875,False,1025.8872266141193,0.11472789429502005,0,False,317840,0.0078125,0.9921875,False,1008.9212052688757,0.1153471580664853,0,False,1,19.0,1,18.0,1,36.9,1,16.0,1,8.0,1,6.0,299.11362075805664,6,6.9
387202,0.0,0.9921875,False,1092.5802950000154,0.0952772560652338,0,False,387201,0.0,0.9921875,False,1092.5802950000154,0.09537743843014652,0,False,380876,0.0,1.0,False,1072.6244905251294,0.09628678931670567,0,False,1,15.0,1,20.0,1,35.9,1,17.0,1,7.0,1,6.0,358.2406485080719,6,6.8
419717,0.0,0.9921875,False,852.7780177005528,0.0884743409430238,0,False,419716,0.0078125,0.9921875,False,852.7640417840398,0.0885712778685574,0,False,412877,0.0,0.9921875,False,842.7980416313658,0.08925785737557632,0,False,0,0,0,0,0,0,0,0,0,0,0,0,388.31148648262024,0,6.7
