Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,1.000
4,4.250
5,7.750
6,14.500
7,15.500
8,36.250
9,64.750
10,117.000
11,125.500
12,101.000
13,84.500
14,80.750
15,72.000
16,38.750
17,34.750
18,21.750
19,10.500
20,5.500
21,3.000
22,0.000
23,0.000
24,0.000
25,1.000
26,3.500
