Distance_(pixels),Gray_Value
0,0.820
1,0.000
2,0.630
3,5.071
4,16.002
5,47.550
6,95.929
7,134.225
8,155.492
9,171.577
10,186.899
11,167.289
12,158.848
13,128.001
14,96.728
15,51.048
16,22.398
17,6.501
18,1.863
19,0.000
20,0.000
