Distance_(pixels),Gray_Value
0,4.2500
1,7.3164
2,6.7674
3,3.4201
4,4.2230
5,9.5176
6,11.8059
7,17.3271
8,31.0216
9,52.3176
10,72.3392
11,72.4390
12,59.6611
13,68.0723
14,71.3062
15,61.0105
16,48.3990
17,36.5018
18,19.1280
19,11.4419
20,5.7139
21,3.1010
22,2.1848
23,1.4677
24,3.6490
25,1.5515
26,0.2344
