Distance_(pixels),Gray_Value
0,3.398
1,5.893
2,5.587
3,21.795
4,42.188
5,55.759
6,105.132
7,135.690
8,137.639
9,138.083
10,118.860
11,87.011
12,81.443
13,60.599
14,41.783
15,21.078
16,7.147
17,4.550
18,0.725
19,0.469
