Distance_(pixels),Gray_Value
0,2.789
1,2.205
2,5.538
3,5.904
4,4.063
5,8.493
6,47.509
7,78.935
8,115.636
9,132.338
10,154.802
11,151.564
12,113.769
13,85.893
14,51.045
15,44.518
16,21.896
17,6.727
18,3.938
19,3.016
20,0.662
21,0.104
22,0.005
23,0.000
