Distance_(pixels),Gray_Value
0,4.5000
1,0.8690
2,0.2599
3,1.1552
4,4.2326
5,8.0566
6,7.1314
7,16.7911
8,43.2200
9,71.9736
10,90.9594
11,91.0850
12,94.3161
13,99.5950
14,86.1354
15,67.3555
16,42.9689
17,26.0088
18,12.6352
19,2.7096
20,0.1312
21,0.2388
22,3.0566
23,2.4605
24,0.3770
25,0.1484
