Distance_(pixels),Gray_Value
0,3.000
1,1.445
2,0.147
3,0.069
4,0.582
5,3.310
6,2.773
7,10.073
8,36.336
9,74.178
10,108.281
11,128.744
12,134.519
13,134.544
14,141.198
15,123.192
16,82.449
17,65.165
18,49.782
19,27.790
20,15.142
21,6.991
22,3.369
23,0.941
24,1.779
25,4.675
26,4.163
27,1.184
