Distance_(pixels),Gray_Value
0,2.2292
1,0.4135
2,0.0000
3,4.4998
4,5.9506
5,1.8569
6,0.1475
7,0.0000
8,0.0000
9,11.1433
10,47.9836
11,62.1441
12,76.9303
13,66.6041
14,76.9812
15,67.1384
16,68.6756
17,57.0390
18,50.8048
19,38.9446
20,20.8785
21,9.6427
22,2.2167
23,3.5725
24,3.3965
25,1.2889
26,0.1272
27,1.4115
