buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_coincidence.event_count,buffers.to_coincidence.filled_slots,buffers.to_coincidence.empty_slots,buffers.to_coincidence.flush_event_received,buffers.to_coincidence.rate,buffers.to_coincidence.average_deadtime,buffers.to_coincidence.paused_count,buffers.to_coincidence.paused,buffers.Coincidences.event_count,buffers.Coincidences.filled_slots,buffers.Coincidences.empty_slots,buffers.Coincidences.flush_event_received,buffers.Coincidences.rate,buffers.Coincidences.average_deadtime,buffers.Coincidences.paused_count,buffers.Coincidences.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.Coincidence.processes,workers.Coincidence.cpu_percent,workers.Save_Coincidence.processes,workers.Save_Coincidence.cpu_percent,workers.Visualize_Coincidence.processes,workers.Visualize_Coincidence.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
130474,0.0,0.9921875,False,1053.0910655566627,0.11262855149998273,0,False,130473,0.0,1.0,False,1053.0772815175387,0.11259262218335137,0,False,14857,0.0,1.0,False,100.81525753274045,0.11204600275028938,0,False,1,19.0,1,16.0,1,35.9,1,12.0,1,0.0,1,6.0,118.72084164619446,6,6.5
196772,0.0,0.9921875,False,1117.3025666178096,0.09985433096017451,0,False,196771,0.0,1.0,False,1118.302457218954,0.0997881186506767,0,False,22563,0.0,1.0,False,113.62542088162179,0.11145319944531015,0,False,1,16.9,1,19.9,1,35.9,1,14.0,1,0.0,1,7.0,178.8747775554657,6,7.2
262716,0.0,0.9921875,False,1100.5814677742778,0.1170760416709151,0,False,262715,0.0,1.0,False,1100.5819914219492,0.1170760416709151,0,False,30230,0.0,1.0,False,132.70856223898332,0.13435941788169575,0,False,1,20.0,1,18.0,1,39.9,1,15.0,1,0.0,1,6.0,239.02796292304993,6,7.7
327376,0.0,0.9921875,False,1098.1608029015863,0.09493661892500661,0,False,327375,0.0,1.0,False,1098.159758315514,0.09494293191476537,0,False,37702,0.0,1.0,False,115.70064558841574,0.0942949245170988,0,False,1,18.0,1,21.9,1,36.9,1,13.0,1,1.0,1,6.0,298.1762900352478,6,6.4
393688,0.0,0.9921875,False,1093.074920438052,0.08969803494277001,0,False,393687,0.0078125,0.984375,False,1093.0754402659738,0.08969803494277001,0,False,45296,0.0,1.0,False,132.64507206825684,0.08876843805937551,0,False,1,14.0,1,21.9,1,36.9,1,12.0,1,0.0,1,6.0,358.3333444595337,6,6.2
460059,0.0,0.9921875,False,1092.404620161079,0.094543733874746,0,False,460058,0.0,1.0,False,1092.4113758410253,0.09453349856682496,0,False,52917,0.0,1.0,False,136.67645156678995,0.10557541048817994,0,False,1,17.0,1,23.9,1,41.9,1,15.0,1,0.0,1,6.0,418.4670422077179,6,7.0
525988,0.0,0.9921875,False,1069.7102616479217,0.1095049423986608,0,False,525987,0.0,1.0,False,1069.7102616479217,0.1095049423986608,0,False,60396,0.0,1.0,False,122.73721975483932,0.11030842146468844,0,False,1,21.0,1,22.0,1,36.9,1,13.0,1,0.0,1,6.0,478.61681056022644,6,7.0
592593,0.0,0.9921875,False,1119.3135249534353,0.088148146464607,0,False,592592,0.0078125,0.984375,False,1119.316184850769,0.088148146464607,0,False,68020,0.0,0.9921875,False,121.59994372761314,0.09824916599453616,0,False,1,16.9,1,21.9,1,36.9,1,14.0,1,16.9,1,6.0,538.7709035873413,6,8.0
659436,0.0,0.9921875,False,1157.621227486874,0.09103796331283218,0,False,659435,0.0,1.0,False,1157.6204019018915,0.09105594338332211,0,False,75637,0.0,1.0,False,139.59250197549153,0.08852954070734345,0,False,1,16.0,1,20.9,1,38.9,1,16.0,1,0.0,1,6.0,598.9394338130951,6,6.9
1319388,0.0,0.9921875,False,1107.1407535927494,0.13191256576090807,0,False,1319387,0.0,1.0,False,1107.1491787123457,0.13198589479783027,0,False,151328,0.0,1.0,False,132.65914069193911,0.1259785442213927,0,False,1,20.9,1,19.0,1,39.9,1,16.0,1,0.0,1,6.0,1198.4410946369171,6,6.0
1977995,0.0,0.9921875,False,1102.9939413681557,0.10918243176226018,0,False,1977994,0.0,1.0,False,1102.9889584602429,0.10918243176226018,0,False,227000,0.0,1.0,False,120.67035272086247,0.1247338735514002,0,False,1,18.9,1,18.0,1,40.9,1,14.0,1,3.0,1,4.0,1798.9863834381104,6,7.3
2628465,0.0,0.9921875,False,1102.783549946297,0.09173250605886364,0,False,2628464,0.0078125,0.9921875,False,1102.7819755683197,0.09207697517398694,0,False,301624,0.0,1.0,False,108.77978488125164,0.08680523208903476,0,False,1,18.0,1,19.0,1,35.9,1,11.0,1,10.0,1,6.0,2399.513651609421,6,6.6
3276392,0.0,0.9921875,False,1149.3561791381062,0.100626737500281,0,False,3276391,0.0,1.0,False,1149.3602801374045,0.1005268175121172,0,False,375656,0.0,1.0,False,135.68852778779487,0.09431792973218227,0,False,1,16.0,1,21.0,1,41.9,1,16.0,1,0.0,1,6.0,2999.0211589336395,6,7.1
3403922,0.0,0.9921875,False,938.4420543792869,0.08927837684414411,0,False,3403921,0.0,1.0,False,938.445397845371,0.08928001156601276,0,False,390247,0.0,1.0,False,108.58913099553605,0.09860463368679971,0,False,0,0,0,0,0,0,0,0,0,0,0,0,3117.3252704143524,0,6.3
