x,y_fit,uncertainty
2.840000000000000000e+02,-4.010687530577308735e+01,1.464470374157346155e-01
2.850000000000000000e+02,-4.156614889106333521e+01,1.466343594795574967e-01
2.860000000000000000e+02,-4.302542247635363992e+01,1.468278894369408893e-01
2.870000000000000000e+02,-4.448469606164388779e+01,1.470276027743862846e-01
2.880000000000000000e+02,-4.594396964693419250e+01,1.472334743297482040e-01
2.890000000000000000e+02,-4.740324323222444036e+01,1.474454783076924458e-01
2.900000000000000000e+02,-4.886251681751474507e+01,1.476635882954918655e-01
2.910000000000000000e+02,-5.032179040280504978e+01,1.478877772758151188e-01
2.920000000000000000e+02,-5.178106398809529765e+01,1.481180176461032449e-01
2.930000000000000000e+02,-5.324033757338560235e+01,1.483542812317573123e-01
2.940000000000000000e+02,-5.469961115867585022e+01,1.485965393026399406e-01
2.950000000000000000e+02,-5.615888474396615493e+01,1.488447625890828019e-01
2.960000000000000000e+02,-5.761815832925645964e+01,1.490989212987597901e-01
2.970000000000000000e+02,-5.907743191454670750e+01,1.493589851299148008e-01
2.980000000000000000e+02,-6.053670549983701221e+01,1.496249232921180727e-01
2.990000000000000000e+02,-6.199597908512726008e+01,1.498967045204691317e-01
3.000000000000000000e+02,-6.345525267041756479e+01,1.501742970895348361e-01
3.010000000000000000e+02,-6.491452625570786950e+01,1.504576688353787273e-01
3.020000000000000000e+02,-6.637379984099811736e+01,1.507467871654997182e-01
3.030000000000000000e+02,-6.783307342628842207e+01,1.510416190810142667e-01
3.040000000000000000e+02,-6.929234701157866994e+01,1.513421311897570620e-01
3.050000000000000000e+02,-7.075162059686897464e+01,1.516482897234610605e-01
3.060000000000000000e+02,-7.221089418215922251e+01,1.519600605549799588e-01
3.070000000000000000e+02,-7.367016776744952722e+01,1.522774092108586386e-01
3.080000000000000000e+02,-7.512944135273983193e+01,1.526003008929507354e-01
3.090000000000000000e+02,-7.658871493803007979e+01,1.529287004908385650e-01
3.100000000000000000e+02,-7.804798852332038450e+01,1.532625725986740961e-01
3.110000000000000000e+02,-7.950726210861063237e+01,1.536018815319917796e-01
3.120000000000000000e+02,-8.096653569390093708e+01,1.539465913394000018e-01
3.130000000000000000e+02,-8.242580927919124179e+01,1.542966658240617073e-01
3.140000000000000000e+02,-8.388508286448148965e+01,1.546520685551078245e-01
3.150000000000000000e+02,-8.534435644977179436e+01,1.550127628838190164e-01
3.160000000000000000e+02,-8.680363003506204223e+01,1.553787119586404752e-01
3.170000000000000000e+02,-8.826290362035234693e+01,1.557498787411000229e-01
3.180000000000000000e+02,-8.972217720564265164e+01,1.561262260160776183e-01
3.190000000000000000e+02,-9.118145079093289951e+01,1.565077164127349207e-01
3.200000000000000000e+02,-9.264072437622320422e+01,1.568943124143910850e-01
3.210000000000000000e+02,-9.409999796151345208e+01,1.572859763735778016e-01
3.220000000000000000e+02,-9.555927154680375679e+01,1.576826705269562812e-01
3.230000000000000000e+02,-9.701854513209406150e+01,1.580843570041728374e-01
3.240000000000000000e+02,-9.847781871738430937e+01,1.584909978480877890e-01
3.250000000000000000e+02,-9.993709230267461407e+01,1.589025550231716599e-01
3.260000000000000000e+02,-1.013963658879648619e+02,1.593189904294253501e-01
3.270000000000000000e+02,-1.028556394732551666e+02,1.597402659161305805e-01
3.280000000000000000e+02,-1.043149130585454145e+02,1.601663432891577421e-01
3.290000000000000000e+02,-1.057741866438357192e+02,1.605971843303432012e-01
3.300000000000000000e+02,-1.072334602291260239e+02,1.610327508042939670e-01
3.310000000000000000e+02,-1.086927338144162718e+02,1.614730044710606383e-01
3.320000000000000000e+02,-1.101520073997065765e+02,1.619179070986211944e-01
3.330000000000000000e+02,-1.116112809849968244e+02,1.623674204685657541e-01
3.340000000000000000e+02,-1.130705545702871291e+02,1.628215063945301078e-01
3.350000000000000000e+02,-1.145298281555774338e+02,1.632801267273568946e-01
3.360000000000000000e+02,-1.159891017408676817e+02,1.637432433664644804e-01
3.370000000000000000e+02,-1.174483753261579864e+02,1.642108182710186326e-01
3.380000000000000000e+02,-1.189076489114482342e+02,1.646828134639735375e-01
3.390000000000000000e+02,-1.203669224967385389e+02,1.651591910495205096e-01
3.400000000000000000e+02,-1.218261960820288436e+02,1.656399132166032073e-01
3.410000000000000000e+02,-1.232854696673190915e+02,1.661249422489752825e-01
3.420000000000000000e+02,-1.247447432526093962e+02,1.666142405336248911e-01
3.430000000000000000e+02,-1.262040168378996441e+02,1.671077705703776228e-01
3.440000000000000000e+02,-1.276632904231899488e+02,1.676054949739959055e-01
3.450000000000000000e+02,-1.291225640084801967e+02,1.681073764904564838e-01
3.460000000000000000e+02,-1.305818375937705014e+02,1.686133779985434511e-01
3.470000000000000000e+02,-1.320411111790608061e+02,1.691234625183775098e-01
3.480000000000000000e+02,-1.335003847643510539e+02,1.696375932197582426e-01
3.490000000000000000e+02,-1.349596583496413587e+02,1.701557334227161711e-01
3.500000000000000000e+02,-1.364189319349316065e+02,1.706778466128585359e-01
3.510000000000000000e+02,-1.378782055202219681e+02,1.712038964414426268e-01
3.520000000000000000e+02,-1.393374791055122159e+02,1.717338467342587327e-01
3.530000000000000000e+02,-1.407967526908024638e+02,1.722676614894415037e-01
3.540000000000000000e+02,-1.422560262760927117e+02,1.728053048999507457e-01
3.550000000000000000e+02,-1.437152998613830732e+02,1.733467413352446918e-01
3.560000000000000000e+02,-1.451745734466733211e+02,1.738919353713186400e-01
3.570000000000000000e+02,-1.466338470319635690e+02,1.744408517732537189e-01
3.580000000000000000e+02,-1.480931206172539305e+02,1.749934555090552069e-01
3.590000000000000000e+02,-1.495523942025441784e+02,1.755497117636642401e-01
3.600000000000000000e+02,-1.510116677878344262e+02,1.761095859202879976e-01
3.610000000000000000e+02,-1.524709413731246741e+02,1.766730435902198193e-01
3.620000000000000000e+02,-1.539302149584150357e+02,1.772400505935634030e-01
3.630000000000000000e+02,-1.553894885437052835e+02,1.778105729723535589e-01
3.640000000000000000e+02,-1.568487621289955314e+02,1.783845770038553491e-01
3.650000000000000000e+02,-1.583080357142858929e+02,1.789620291801602703e-01
3.660000000000000000e+02,-1.597673092995761408e+02,1.795428962378593785e-01
3.670000000000000000e+02,-1.612265828848663887e+02,1.801271451370883292e-01
3.680000000000000000e+02,-1.626858564701567502e+02,1.807147430740277672e-01
3.690000000000000000e+02,-1.641451300554469981e+02,1.813056574935855703e-01
3.700000000000000000e+02,-1.656044036407372460e+02,1.818998560674084664e-01
3.710000000000000000e+02,-1.670636772260274938e+02,1.824973067234797741e-01
3.720000000000000000e+02,-1.685229508113178554e+02,1.830979776236335566e-01
3.730000000000000000e+02,-1.699822243966081032e+02,1.837018371755309298e-01
3.740000000000000000e+02,-1.714414979818983511e+02,1.843088540448246659e-01
3.750000000000000000e+02,-1.729007715671887127e+02,1.849189971317319048e-01
3.760000000000000000e+02,-1.743600451524789605e+02,1.855322356006286755e-01
3.770000000000000000e+02,-1.758193187377692084e+02,1.861485388561772703e-01
3.780000000000000000e+02,-1.772785923230594562e+02,1.867678765548743403e-01
3.790000000000000000e+02,-1.787378659083498178e+02,1.873902186167937800e-01
3.800000000000000000e+02,-1.801971394936400657e+02,1.880155352008582581e-01
3.810000000000000000e+02,-1.816564130789303135e+02,1.886437967345036548e-01
3.820000000000000000e+02,-1.831156866642206751e+02,1.892749738885546318e-01
