buffers.Input.event_count,buffers.Input.filled_slots,buffers.Input.empty_slots,buffers.Input.flush_event_received,buffers.Input.rate,buffers.Input.average_deadtime,buffers.Input.paused_count,buffers.Input.paused,buffers.to_spectrum.event_count,buffers.to_spectrum.filled_slots,buffers.to_spectrum.empty_slots,buffers.to_spectrum.flush_event_received,buffers.to_spectrum.rate,buffers.to_spectrum.average_deadtime,buffers.to_spectrum.paused_count,buffers.to_spectrum.paused,buffers.PulseHeights.event_count,buffers.PulseHeights.filled_slots,buffers.PulseHeights.empty_slots,buffers.PulseHeights.flush_event_received,buffers.PulseHeights.rate,buffers.PulseHeights.average_deadtime,buffers.PulseHeights.paused_count,buffers.PulseHeights.paused,workers.RedPitaya.processes,workers.RedPitaya.cpu_percent,workers.Copy.processes,workers.Copy.cpu_percent,workers.PHA.processes,workers.PHA.cpu_percent,workers.PHA_to_Histogram.processes,workers.PHA_to_Histogram.cpu_percent,workers.Show_Histogram.processes,workers.Show_Histogram.cpu_percent,workers.Oscilloscope.processes,workers.Oscilloscope.cpu_percent,time_active,total_processes_alive,control.cpu_percent
210,0.0,1.0,False,201.37091661547444,0.06934625087576335,0,False,210,0.0,1.0,False,201.71716253344476,0.06934625087576335,0,False,210,0.0,1.0,False,202.06640908358878,0.06934625087576335,0,False,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.4207937717437744,6,6.3
848,0.0078125,0.984375,False,635.914098223838,0.07385610305136465,0,False,846,0.0,1.0,False,634.0215848677756,0.07403776672656466,0,False,844,0.0,1.0,False,632.0485371218376,0.0736908870735334,0,False,1,11.0,1,16.9,1,29.9,1,15.0,1,6.0,1,7.0,1.423783779144287,6,6.6
1455,0.0,0.9921875,False,605.1825638831443,0.08008010278719525,0,False,1454,0.0,1.0,False,606.1812988603452,0.07998028648735017,0,False,1451,0.0,1.0,False,605.1864479864261,0.07990668311377648,0,False,1,11.0,1,16.0,1,28.9,1,14.0,1,7.0,1,7.0,2.4268014430999756,6,7.1
2043,0.0,0.9921875,False,586.036626178964,0.08216532647655095,0,False,2042,0.0,1.0,False,586.0402468437599,0.08202302099726562,0,False,2039,0.0,1.0,False,586.0426142257004,0.08202302099726563,0,False,1,13.0,1,16.9,1,26.9,1,13.0,1,8.0,1,7.0,3.4299747943878174,6,6.7
2633,0.0,0.9921875,False,588.1082067666779,0.07911291900083166,0,False,2632,0.0,1.0,False,588.1079272341495,0.07925404107906753,0,False,2626,0.0078125,0.9921875,False,585.118382277451,0.07936930049083597,0,False,1,12.0,1,16.9,1,30.9,1,13.0,1,5.0,1,7.0,4.433250904083252,6,6.2
3225,0.0,0.9921875,False,590.3092819680495,0.06496160415086241,0,False,3224,0.0,1.0,False,590.305212172275,0.06478110170965833,0,False,3217,0.0,1.0,False,589.3048527126365,0.0646323384532961,0,False,1,12.0,1,18.9,1,27.9,1,13.0,1,2.0,1,0.0,5.436189651489258,6,5.2
3825,0.0,0.9921875,False,598.1884504086754,0.09049731437249965,0,False,3824,0.0,0.9921875,False,598.185037900847,0.0904973143724996,0,False,3815,0.0,0.9921875,False,596.1932134779648,0.0894649651594616,0,False,1,12.0,1,19.9,1,31.9,1,13.0,1,8.0,1,7.0,6.43927788734436,6,6.4
4428,0.0,0.9921875,False,601.1079513612102,0.09473633915562149,0,False,4427,0.0,0.9921875,False,601.1119516251779,0.09492485767611632,0,False,4415,0.0,1.0,False,598.1192125572164,0.09379797467071484,0,False,1,15.9,1,17.9,1,31.9,1,13.0,1,7.0,1,7.0,7.442412853240967,6,6.2
5031,0.0,0.9921875,False,601.2577118326154,0.0805177816480675,0,False,5030,0.0078125,0.9921875,False,601.2619999676685,0.08050345966460822,0,False,5017,0.0,1.0,False,600.2635979095847,0.08073842237141103,0,False,1,13.0,1,18.9,1,25.9,1,13.0,1,9.0,1,6.0,8.445260524749756,6,6.5
10945,0.0,0.9921875,False,601.39081546736,0.08147527040687402,0,False,10944,0.0,1.0,False,601.3963925232933,0.08148460422687413,0,False,10923,0.0,0.9921875,False,600.3964821355623,0.08087096925525285,0,False,1,12.0,1,14.0,1,24.9,1,13.0,1,12.0,1,6.0,18.471412658691406,6,6.1
17073,0.0,0.9921875,False,622.9454982097778,0.08856851813048197,0,False,17072,0.0,1.0,False,624.9597155131052,0.08923914357908369,0,False,17041,0.0,1.0,False,623.9651937674638,0.0894058176351574,0,False,1,14.0,1,21.9,1,25.9,1,12.0,1,7.0,1,6.0,28.502335786819458,6,6.2
23130,0.0,0.9921875,False,626.3014633308914,0.07749404539063585,0,False,23129,0.0,0.9921875,False,626.3008676593076,0.07692045505967283,0,False,23086,0.0,1.0,False,625.3032759229471,0.0770322984214655,0,False,1,14.0,1,17.9,1,28.9,1,10.0,1,4.0,1,7.0,38.53071403503418,6,5.6
29215,0.0078125,0.984375,False,608.1997490205549,0.07311405835304464,0,False,29213,0.0,1.0,False,607.2012568435,0.07317422567759022,0,False,29162,0.0,1.0,False,606.2019047981278,0.07299788219983097,0,False,1,13.0,1,18.9,1,27.9,1,9.0,1,7.0,1,7.0,48.55862736701965,6,5.0
35258,0.0,0.9921875,False,613.5466989388567,0.07848810071150442,0,False,35257,0.0,1.0,False,613.5458233285643,0.07849193758187006,0,False,35199,0.0,0.9921875,False,613.5459692634395,0.07849193758187006,0,False,1,13.0,1,18.0,1,25.9,1,12.0,1,8.0,1,6.0,58.58580160140991,6,5.6
45348,0.0,0.9921875,False,422.995304901402,0.07847356664943243,0,False,45347,0.0,1.0,False,422.9952045271883,0.07821610227504554,0,False,45274,0.0,1.0,False,422.995304901402,0.07821610227504554,0,False,0,0,0,0,0,0,0,0,0,0,0,0,75.63346147537231,0,5.6
